Year,Arrivals,Sex,Country
2020,72807,Male,Australia
2020,50936,Female,Australia
2020,7876,Male,NewZealand
2020,5897,Female,NewZealand
2020,859,Male,Others in Oceania
2020,599,Female,Others in Oceania
2020,1788,Male,Egypt
2020,1296,Female,Egypt
2020,16712,Male,Israel
2020,12856,Female,Israel
2020,6965,Male,Kuwait
2020,4184,Female,Kuwait
2020,4377,Male,SaudiArabia
2020,1995,Female,SaudiArabia
2020,5841,Male,UnitedArabEmirates
2020,3709,Female,UnitedArabEmirates
2020,17122,Male,Others in Middle East
2020,8385,Female,Others in Middle East
2020,5084,Male,RepublicofSouthAfrica
2020,4608,Female,RepublicofSouthAfrica
2020,8306,Male,Others in Africa
2020,7065,Female,Others in Africa
