Country,Frequency,Arrivals,Year
Finland,First visit,24336,2019
Finland,Re-visit,101154,2019
France,Total,713405,2019
France,First visit,240751,2019
France,Re-visit,472654,2019
Germany,Total,836926,2019
Germany,First visit,266783,2019
Germany,Re-visit,570143,2019
Ireland,Total,54344,2019
Ireland,First visit,19726,2019
Ireland,Re-visit,34618,2019
Italy,Total,250870,2019
Italy,First visit,99072,2019
Italy,Re-visit,151798,2019
Netherlands,Total,230006,2019
Netherlands,First visit,75762,2019
Netherlands,Re-visit,154244,2019
Norway,Total,130509,2019
Norway,First visit,28175,2019
Norway,Re-visit,102334,2019
Russian,Total,1481837,2019
Russian,First visit,505522,2019
Russian,Re-visit,976315,2019
Spain,Total,186969,2019
Spain,First visit,95384,2019
Spain,Re-visit,91585,2019
Sweden,Total,279451,2019
Sweden,First visit,50134,2019
Sweden,Re-visit,229317,2019
Switzerland,Total,206087,2019
Switzerland,First visit,47227,2019
Switzerland,Re-visit,158860,2019
UnitedKingdom,Total,946774,2019
UnitedKingdom,First visit,275533,2019
UnitedKingdom,Re-visit,671241,2019
EastEurope,Total,532911,2019
EastEurope,First visit,225698,2019
EastEurope,Re-visit,307213,2019
Others in Europe,Total,171409,2019
Others in Europe,First visit,72492,2019
Others in Europe,Re-visit,98917,2019
Argentina,Total,28183,2019
Argentina,First visit,10871,2019
Argentina,Re-visit,17312,2019
Brazil,Total,58970,2019
Brazil,First visit,25864,2019
Brazil,Re-visit,33106,2019
Canada,Total,252574,2019
Canada,First visit,86433,2019
Canada,Re-visit,166141,2019
USA,Total,1136210,2019
USA,First visit,409234,2019
USA,Re-visit,726976,2019
Others in America,Total,83863,2019
Others in America,First visit,39627,2019
Others in America,Re-visit,44236,2019
Bangladesh,Total,139622,2019
Bangladesh,First visit,35728,2019
Bangladesh,Re-visit,103894,2019
India,Total,1961069,2019
India,First visit,790339,2019
India,Re-visit,1170730,2019
Nepal,Total,60428,2019
Nepal,First visit,21249,2019
Nepal,Re-visit,39179,2019
Pakistan,Total,71917,2019
Pakistan,First visit,21980,2019
Pakistan,Re-visit,49937,2019
SriLanka,Total,70247,2019
SriLanka,First visit,17033,2019
SriLanka,Re-visit,53214,2019
Others in Asia,Total,53694,2019
Others in Asia,First visit,9750,2019
Others in Asia,Re-visit,43944,2019
Australia,Total,771798,2019
Australia,First visit,203630,2019
Australia,Re-visit,568168,2019
NewZealand,Total,93740,2019
NewZealand,First visit,29179,2019
NewZealand,Re-visit,64561,2019
Others in Oceania,Total,8616,2019
Others in Oceania,First visit,2897,2019
Others in Oceania,Re-visit,5719,2019
Egypt,Total,19010,2019
Egypt,First visit,8128,2019
Egypt,Re-visit,10882,2019
Israel,Total,194081,2019
Israel,First visit,55171,2019
Israel,Re-visit,138910,2019
Kuwait,Total,84504,2019
Kuwait,First visit,18487,2019
Kuwait,Re-visit,66017,2019
SaudiArabia,Total,36783,2019
SaudiArabia,First visit,13480,2019
SaudiArabia,Re-visit,23303,2019
UnitedArabEmirates,Total,145530,2019
UnitedArabEmirates,First visit,29602,2019
UnitedArabEmirates,Re-visit,115928,2019
Others in Middle East,Total,247410,2019
Others in Middle East,First visit,67081,2019
Others in Middle East,Re-visit,180329,2019
SouthAfrica,Total,89750,2019
SouthAfrica,First visit,43668,2019
SouthAfrica,Re-visit,46082,2019
Others in Africa,Total,107069,2019
Others in Africa,First visit,35122,2019
Others in Africa,Re-visit,71947,2019
Brunai,Total,2444,2020
Brunai,First visit,416,2020
Brunai,Re-visit,2028,2020
Cambodia,Total,164270,2020
Cambodia,First visit,13175,2020
