0,Frequency of visit ,No of Arrival by Frequency of purpose,Year,,,
        Laos,First visit,"95,418","2,017",,,
        Laos,Re-visit,"1,597,448","2,017",,,
        Malaysia,Total,"3,493,112","2,017",,,
        Malaysia,First visit,"1,072,491","2,017",,,
        Malaysia,Re-visit,"2,420,621","2,017",,,
        Myanmar,Total,"387,722","2,017",,,
        Myanmar,First visit,"62,109","2,017",,,
        Myanmar,Re-visit,"325,613","2,017",,,
        Philippines,Total,"361,218","2,017",,,
        Philippines,First visit,"127,484","2,017",,,
        Philippines,Re-visit,"233,734","2,017",,,
        Singapore,Total,"1,259,523","2,017",,,
        Singapore,First visit,"140,359","2,017",,,
        Singapore,Re-visit,"1,119,164","2,017",,,
        Vietnam,Total,"985,695","2,017",,,
        Vietnam,First visit,"369,763","2,017",,,
        Vietnam,Re-visit,"615,932","2,017",,,
    China,Total,"9,846,818","2,017",,,
    China,First visit,"5,592,476","2,017",,,
    China,Re-visit,"4,254,342","2,017",,,
    Hong Kong,Total,"798,460","2,017",,,
    Hong Kong,First visit,"151,694","2,017",,,
    Hong Kong,Re-visit,"646,766","2,017",,,
    Japan,Total,"1,525,707","2,017",,,
    Japan,First visit,"322,185","2,017",,,
    Japan,Re-visit,"1,203,522","2,017",,,
    Korea,Total,"1,698,608","2,017",,,
    Korea,First visit,"767,718","2,017",,,
    Korea,Re-visit,"930,890","2,017",,,
    Taiwan,Total,"560,441","2,017",,,
    Taiwan,First visit,"163,133","2,017",,,
    Taiwan,Re-visit,"397,308","2,017",,,
    Others in East,Total,"91,918","2,017",,,
    Others in East,First visit,"18,838","2,017",,,
    Others in East,Re-visit,"73,080","2,017",,,
    Austria,Total,"104,220","2,017",,,
    Austria,First visit,"32,597","2,017",,,
    Austria,Re-visit,"71,623","2,017",,,
    Belgium,Total,"112,635","2,017",,,
    Belgium,First visit,"36,352","2,017",,,
    Belgium,Re-visit,"76,283","2,017",,,
    Denmark,Total,"157,923","2,017",,,
    Denmark,First visit,"41,268","2,017",,,
    Denmark,Re-visit,"116,655","2,017",,,
    Finland,Total,"138,926","2,017",,,
