Column1,Region,Country of Residence,Age Group,No of Arrivals,Year,,,,Age group,No. of Arrival
2024,Middle East,Kuwait,Total,"68,168",2016,,,,,
2025,Middle East,Kuwait,Under 25,"23,994",2016,,,,,
2026,Middle East,Kuwait,25 - 34,"18,930",2016,,,,,
2027,Middle East,Kuwait,35 - 44,"11,124",2016,,,,,
2028,Middle East,Kuwait,45 - 54,"8,379",2016,,,,,
2029,Middle East,Kuwait,55 - 64,"3,987",2016,,,,,
2030,Middle East,Kuwait,65 and Over,"1,754",2016,,,,,
2031,Middle East,Kuwait,Total,"80,895",2017,,,,,
2032,Middle East,Kuwait,Under 25,"25,177",2017,,,,,
2033,Middle East,Kuwait,25 - 34,"23,202",2017,,,,,
2034,Middle East,Kuwait,35 - 44,"14,097",2017,,,,,
2035,Middle East,Kuwait,45 - 54,"10,256",2017,,,,,
2036,Middle East,Kuwait,55 - 64,"5,819",2017,,,,,
2037,Middle East,Kuwait,65 and Over,"2,344",2017,,,,,
2038,Middle East,Kuwait,Total,"77,365",2018,,,,,
2039,Middle East,Kuwait,Under 25,"22,042",2018,,,,,
2040,Middle East,Kuwait,25 - 34,"22,047",2018,,,,,
2041,Middle East,Kuwait,35 - 44,"14,286",2018,,,,,
2042,Middle East,Kuwait,45 - 54,"10,364",2018,,,,,
2043,Middle East,Kuwait,55 - 64,"6,070",2018,,,,,
2044,Middle East,Kuwait,65 and Over,"2,556",2018,,,,,
2045,Middle East,Kuwait,Total,"84,504",2019,,,,,
2046,Middle East,Kuwait,Under 25,"24,884",2019,,,,,
2047,Middle East,Kuwait,25 - 34,"21,595",2019,,,,,
2048,Middle East,Kuwait,35 - 44,"15,519",2019,,,,,
2049,Middle East,Kuwait,45 - 54,"11,607",2019,,,,,
2050,Middle East,Kuwait,55 - 64,"7,329",2019,,,,,
2051,Middle East,Kuwait,65 and Over,"3,570",2019,,,,,
2052,Middle East,Kuwait,Total,"11,149",2020,,,,,
2053,Middle East,Kuwait,Under 25,"2,850",2020,,,,,
2054,Middle East,Kuwait,25 - 34,"2,817",2020,,,,,
2055,Middle East,Kuwait,35 - 44,"2,255",2020,,,,,
2056,Middle East,Kuwait,45 - 54,"1,672",2020,,,,,
2057,Middle East,Kuwait,55 - 64,"1,043",2020,,,,,
2058,Middle East,Kuwait,65 and Over,512,2020,,,,,
2059,Middle East,Saudi Arabia,Total,"25,153",2015,,,,,
2060,Middle East,Saudi Arabia,Under 25,"5,286",2015,,,,,
2061,Middle East,Saudi Arabia,25 - 34,"7,983",2015,,,,,
2062,Middle East,Saudi Arabia,35 - 44,"5,105",2015,,,,,
2063,Middle East,Saudi Arabia,45 - 54,"4,284",2015,,,,,
2064,Middle East,Saudi Arabia,55 - 64,"1,909",2015,,,,,
2065,Middle East,Saudi Arabia,65 and Over,586,2015,,,,,
2066,Middle East,Saudi Arabia,Total,"33,038",2016,,,,,
2067,Middle East,Saudi Arabia,Under 25,"7,550",2016,,,,,
2068,Middle East,Saudi Arabia,25 - 34,"12,620",2016,,,,,
2069,Middle East,Saudi Arabia,35 - 44,"6,964",2016,,,,,
2070,Middle East,Saudi Arabia,45 - 54,"3,533",2016,,,,,
2071,Middle East,Saudi Arabia,55 - 64,"1,804",2016,,,,,
2072,Middle East,Saudi Arabia,65 and Over,567,2016,,,,,
2073,Middle East,Saudi Arabia,Total,"42,610",2017,,,,,
2074,Middle East,Saudi Arabia,Under 25,"8,442",2017,,,,,
2075,Middle East,Saudi Arabia,25 - 34,"17,143",2017,,,,,
2076,Middle East,Saudi Arabia,35 - 44,"9,038",2017,,,,,
2077,Middle East,Saudi Arabia,45 - 54,"4,745",2017,,,,,
2078,Middle East,Saudi Arabia,55 - 64,"2,431",2017,,,,,
2079,Middle East,Saudi Arabia,65 and Over,811,2017,,,,,
2080,Middle East,Saudi Arabia,Total,"35,090",2018,,,,,
2081,Middle East,Saudi Arabia,Under 25,"6,454",2018,,,,,
2082,Middle East,Saudi Arabia,25 - 34,"13,437",2018,,,,,
2083,Middle East,Saudi Arabia,35 - 44,"7,817",2018,,,,,
2084,Middle East,Saudi Arabia,45 - 54,"4,210",2018,,,,,
2085,Middle East,Saudi Arabia,55 - 64,"2,397",2018,,,,,
2086,Middle East,Saudi Arabia,65 and Over,775,2018,,,,,
2087,Middle East,Saudi Arabia,Total,"36,783",2019,,,,,
2088,Middle East,Saudi Arabia,Under 25,"7,287",2019,,,,,
2089,Middle East,Saudi Arabia,25 - 34,"13,418",2019,,,,,
2090,Middle East,Saudi Arabia,35 - 44,"8,319",2019,,,,,
2091,Middle East,Saudi Arabia,45 - 54,"4,599",2019,,,,,
2092,Middle East,Saudi Arabia,55 - 64,"2,437",2019,,,,,
2093,Middle East,Saudi Arabia,65 and Over,723,2019,,,,,
2094,Middle East,Saudi Arabia,Total,"6,372",2020,,,,,
2095,Middle East,Saudi Arabia,Under 25,"1,140",2020,,,,,
2096,Middle East,Saudi Arabia,25 - 34,"2,212",2020,,,,,
2097,Middle East,Saudi Arabia,35 - 44,"1,641",2020,,,,,
2098,Middle East,Saudi Arabia,45 - 54,809,2020,,,,,
2099,Middle East,Saudi Arabia,55 - 64,448,2020,,,,,
2100,Middle East,Saudi Arabia,65 and Over,122,2020,,,,,
2101,Middle East,United Arab Emirates,Total,"171,516",2015,,,,,
2102,Middle East,United Arab Emirates,Under 25,"30,774",2015,,,,,
2103,Middle East,United Arab Emirates,25 - 34,"51,142",2015,,,,,
2104,Middle East,United Arab Emirates,35 - 44,"42,250",2015,,,,,
2105,Middle East,United Arab Emirates,45 - 54,"28,950",2015,,,,,
2106,Middle East,United Arab Emirates,55 - 64,"14,283",2015,,,,,
2107,Middle East,United Arab Emirates,65 and Over,"4,117",2015,,,,,
2108,Middle East,United Arab Emirates,Total,"187,665",2016,,,,,
2109,Middle East,United Arab Emirates,Under 25,"53,041",2016,,,,,
2110,Middle East,United Arab Emirates,25 - 34,"56,180",2016,,,,,
2111,Middle East,United Arab Emirates,35 - 44,"38,943",2016,,,,,
2112,Middle East,United Arab Emirates,45 - 54,"22,238",2016,,,,,
2113,Middle East,United Arab Emirates,55 - 64,"12,018",2016,,,,,
2114,Middle East,United Arab Emirates,65 and Over,"5,245",2016,,,,,
2115,Middle East,United Arab Emirates,Total,"199,475",2017,,,,,
2116,Middle East,United Arab Emirates,Under 25,"57,138",2017,,,,,
2117,Middle East,United Arab Emirates,25 - 34,"56,174",2017,,,,,
2118,Middle East,United Arab Emirates,35 - 44,"43,417",2017,,,,,
2119,Middle East,United Arab Emirates,45 - 54,"23,811",2017,,,,,
2120,Middle East,United Arab Emirates,55 - 64,"12,884",2017,,,,,
2121,Middle East,United Arab Emirates,65 and Over,"6,051",2017,,,,,
2122,Middle East,United Arab Emirates,Total,"151,137",2018,,,,,
2123,Middle East,United Arab Emirates,Under 25,"40,106",2018,,,,,
2124,Middle East,United Arab Emirates,25 - 34,"42,137",2018,,,,,
2125,Middle East,United Arab Emirates,35 - 44,"33,328",2018,,,,,
2126,Middle East,United Arab Emirates,45 - 54,"19,370",2018,,,,,
2127,Middle East,United Arab Emirates,55 - 64,"11,105",2018,,,,,
2128,Middle East,United Arab Emirates,65 and Over,"5,091",2018,,,,,
2129,Middle East,United Arab Emirates,Total,"145,530",2019,,,,,
2130,Middle East,United Arab Emirates,Under 25,"38,722",2019,,,,,
2131,Middle East,United Arab Emirates,25 - 34,"37,898",2019,,,,,
2132,Middle East,United Arab Emirates,35 - 44,"32,918",2019,,,,,
2133,Middle East,United Arab Emirates,45 - 54,"19,643",2019,,,,,
2134,Middle East,United Arab Emirates,55 - 64,"11,272",2019,,,,,
2135,Middle East,United Arab Emirates,65 and Over,"5,077",2019,,,,,
2136,Middle East,United Arab Emirates,Total,"9,550",2020,,,,,
2137,Middle East,United Arab Emirates,Under 25,"1,493",2020,,,,,
2138,Middle East,United Arab Emirates,25 - 34,"2,987",2020,,,,,
2139,Middle East,United Arab Emirates,35 - 44,"2,510",2020,,,,,
2140,Middle East,United Arab Emirates,45 - 54,"1,263",2020,,,,,
2141,Middle East,United Arab Emirates,55 - 64,914,2020,,,,,
2142,Middle East,United Arab Emirates,65 and Over,383,2020,,,,,
2143,Middle East,Others in Middle East,Total,"289,942",2015,,,,,
2144,Middle East,Others in Middle East,Under 25,"50,423",2015,,,,,
2145,Middle East,Others in Middle East,25 - 34,"81,332",2015,,,,,
2146,Middle East,Others in Middle East,35 - 44,"69,683",2015,,,,,
2147,Middle East,Others in Middle East,45 - 54,"53,814",2015,,,,,
2148,Middle East,Others in Middle East,55 - 64,"26,829",2015,,,,,
2149,Middle East,Others in Middle East,65 and Over,"7,861",2015,,,,,
2150,Middle East,Others in Middle East,Total,"346,420",2016,,,,,
2151,Middle East,Others in Middle East,Under 25,"81,380",2016,,,,,
2152,Middle East,Others in Middle East,25 - 34,"116,673",2016,,,,,
2153,Middle East,Others in Middle East,35 - 44,"71,900",2016,,,,,
2154,Middle East,Others in Middle East,45 - 54,"43,376",2016,,,,,
2155,Middle East,Others in Middle East,55 - 64,"23,780",2016,,,,,
2156,Middle East,Others in Middle East,65 and Over,"9,311",2016,,,,,
2157,Middle East,Others in Middle East,Total,"357,518",2017,,,,,
2158,Middle East,Others in Middle East,Under 25,"72,753",2017,,,,,
2159,Middle East,Others in Middle East,25 - 34,"120,967",2017,,,,,
2160,Middle East,Others in Middle East,35 - 44,"80,744",2017,,,,,
2161,Middle East,Others in Middle East,45 - 54,"45,980",2017,,,,,
2162,Middle East,Others in Middle East,55 - 64,"26,193",2017,,,,,
2163,Middle East,Others in Middle East,65 and Over,"10,881",2017,,,,,
2164,Middle East,Others in Middle East,Total,"300,677",2018,,,,,
2165,Middle East,Others in Middle East,Under 25,"63,329",2018,,,,,
2166,Middle East,Others in Middle East,25 - 34,"93,398",2018,,,,,
2167,Middle East,Others in Middle East,35 - 44,"67,977",2018,,,,,
2168,Middle East,Others in Middle East,45 - 54,"40,920",2018,,,,,
2169,Middle East,Others in Middle East,55 - 64,"25,019",2018,,,,,
2170,Middle East,Others in Middle East,65 and Over,"10,034",2018,,,,,
2171,Middle East,Others in Middle East,Total,"247,410",2019,,,,,
2172,Middle East,Others in Middle East,Under 25,"52,837",2019,,,,,
2173,Middle East,Others in Middle East,25 - 34,"72,786",2019,,,,,
2174,Middle East,Others in Middle East,35 - 44,"58,575",2019,,,,,
2175,Middle East,Others in Middle East,45 - 54,"33,114",2019,,,,,
2176,Middle East,Others in Middle East,55 - 64,"20,761",2019,,,,,
2177,Middle East,Others in Middle East,65 and Over,"9,337",2019,,,,,
2178,Middle East,Others in Middle East,Total,"25,507",2020,,,,,
2179,Middle East,Others in Middle East,Under 25,"3,918",2020,,,,,
2180,Middle East,Others in Middle East,25 - 34,"7,292",2020,,,,,
2181,Middle East,Others in Middle East,35 - 44,"6,625",2020,,,,,
2182,Middle East,Others in Middle East,45 - 54,"3,873",2020,,,,,
2183,Middle East,Others in Middle East,55 - 64,"2,547",2020,,,,,
2184,Middle East,Others in Middle East,65 and Over,"1,252",2020,,,,,
2185,Africa,South Africa,Total,"74,397",2015,,,,,
2186,Africa,South Africa,Under 25,"12,599",2015,,,,,
2187,Africa,South Africa,25 - 34,"22,119",2015,,,,,
2188,Africa,South Africa,35 - 44,"14,934",2015,,,,,
2189,Africa,South Africa,45 - 54,"13,612",2015,,,,,
2190,Africa,South Africa,55 - 64,"8,514",2015,,,,,
2191,Africa,South Africa,65 and Over,"2,619",2015,,,,,
2192,Africa,South Africa,Total,"76,541",2016,,,,,
2193,Africa,South Africa,Under 25,"17,431",2016,,,,,
2194,Africa,South Africa,25 - 34,"31,767",2016,,,,,
2195,Africa,South Africa,35 - 44,"12,405",2016,,,,,
2196,Africa,South Africa,45 - 54,"7,869",2016,,,,,
2197,Africa,South Africa,55 - 64,"5,052",2016,,,,,
2198,Africa,South Africa,65 and Over,"2,017",2016,,,,,
2199,Africa,South Africa,Total,"91,182",2017,,,,,
2200,Africa,South Africa,Under 25,"16,997",2017,,,,,
2201,Africa,South Africa,25 - 34,"30,128",2017,,,,,
2202,Africa,South Africa,35 - 44,"17,210",2017,,,,,
2203,Africa,South Africa,45 - 54,"13,168",2017,,,,,
2204,Africa,South Africa,55 - 64,"9,531",2017,,,,,
2205,Africa,South Africa,65 and Over,"4,148",2017,,,,,
2206,Africa,South Africa,Total,"97,071",2018,,,,,
2207,Africa,South Africa,Under 25,"15,704",2018,,,,,
2208,Africa,South Africa,25 - 34,"27,166",2018,,,,,
2209,Africa,South Africa,35 - 44,"19,197",2018,,,,,
2210,Africa,South Africa,45 - 54,"17,091",2018,,,,,
2211,Africa,South Africa,55 - 64,"12,605",2018,,,,,
2212,Africa,South Africa,65 and Over,"5,308",2018,,,,,
2213,Africa,South Africa,Total,"89,750",2019,,,,,
2214,Africa,South Africa,Under 25,"14,679",2019,,,,,
2215,Africa,South Africa,25 - 34,"23,552",2019,,,,,
2216,Africa,South Africa,35 - 44,"18,406",2019,,,,,
2217,Africa,South Africa,45 - 54,"15,470",2019,,,,,
2218,Africa,South Africa,55 - 64,"11,598",2019,,,,,
2219,Africa,South Africa,65 and Over,"6,045",2019,,,,,
2220,Africa,South Africa,Total,"9,692",2020,,,,,
2221,Africa,South Africa,Under 25,"1,569",2020,,,,,
2222,Africa,South Africa,25 - 34,"2,753",2020,,,,,
2223,Africa,South Africa,35 - 44,"1,959",2020,,,,,
2224,Africa,South Africa,45 - 54,"1,638",2020,,,,,
2225,Africa,South Africa,55 - 64,"1,169",2020,,,,,
2226,Africa,South Africa,65 and Over,604,2020,,,,,
2227,Africa,Others in Africa,Total,"90,277",2015,,,,,
2228,Africa,Others in Africa,Under 25,"21,028",2015,,,,,
2229,Africa,Others in Africa,25 - 34,"21,878",2015,,,,,
2230,Africa,Others in Africa,35 - 44,"21,837",2015,,,,,
2231,Africa,Others in Africa,45 - 54,"14,004",2015,,,,,
2232,Africa,Others in Africa,55 - 64,"8,453",2015,,,,,
2233,Africa,Others in Africa,65 and Over,"3,077",2015,,,,,
2234,Africa,Others in Africa,Total,"96,193",2016,,,,,
2235,Africa,Others in Africa,Under 25,"15,724",2016,,,,,
2236,Africa,Others in Africa,25 - 34,"27,569",2016,,,,,
2237,Africa,Others in Africa,35 - 44,"22,079",2016,,,,,
2238,Africa,Others in Africa,45 - 54,"15,664",2016,,,,,
2239,Africa,Others in Africa,55 - 64,"10,165",2016,,,,,
2240,Africa,Others in Africa,65 and Over,"4,992",2016,,,,,
2241,Africa,Others in Africa,Total,"101,112",2017,,,,,
2242,Africa,Others in Africa,Under 25,"16,773",2017,,,,,
2243,Africa,Others in Africa,25 - 34,"29,918",2017,,,,,
2244,Africa,Others in Africa,35 - 44,"23,331",2017,,,,,
2245,Africa,Others in Africa,45 - 54,"16,093",2017,,,,,
2246,Africa,Others in Africa,55 - 64,"10,251",2017,,,,,
2247,Africa,Others in Africa,65 and Over,"4,746",2017,,,,,
2248,Africa,Others in Africa,Total,"103,257",2018,,,,,
2249,Africa,Others in Africa,Under 25,"15,995",2018,,,,,
2250,Africa,Others in Africa,25 - 34,"30,430",2018,,,,,
2251,Africa,Others in Africa,35 - 44,"24,430",2018,,,,,
2252,Africa,Others in Africa,45 - 54,"16,420",2018,,,,,
2253,Africa,Others in Africa,55 - 64,"10,603",2018,,,,,
2254,Africa,Others in Africa,65 and Over,"5,379",2018,,,,,
2255,Africa,Others in Africa,Total,"107,069",2019,,,,,
2256,Africa,Others in Africa,Under 25,"16,530",2019,,,,,
2257,Africa,Others in Africa,25 - 34,"30,640",2019,,,,,
2258,Africa,Others in Africa,35 - 44,"26,042",2019,,,,,
2259,Africa,Others in Africa,45 - 54,"17,752",2019,,,,,
2260,Africa,Others in Africa,55 - 64,"11,108",2019,,,,,
2261,Africa,Others in Africa,65 and Over,"4,997",2019,,,,,
2262,Africa,Others in Africa,Total,"15,371",2020,,,,,
2263,Africa,Others in Africa,Under 25,"2,203",2020,,,,,
2264,Africa,Others in Africa,25 - 34,"4,373",2020,,,,,
2265,Africa,Others in Africa,35 - 44,"3,785",2020,,,,,
2266,Africa,Others in Africa,45 - 54,"2,434",2020,,,,,
2267,Africa,Others in Africa,55 - 64,"1,580",2020,,,,,
2268,Africa,Others in Africa,65 and Over,996,2020,,,,,
